frame_idx,video_time_ms,easyocr_pred,trocr_pred,same_pred,easyocr_latency_ms,trocr_latency_ms,latency_gap_ms_trocr_minus_easyocr,easyocr_score,trocr_score,easyocr_bbox,trocr_bbox
104,3466.666666666667,78FA,82822,false,389.5461,1398.0838,1008.5377,0.5481856658658083,0.8926820158958435,"[225, 662, 337, 734]","[225, 662, 337, 734]"
105,3500.0,82522,67522,false,391.8624,1331.2244,939.3620,0.4946654584593873,0.8937910795211792,"[225, 662, 337, 735]","[225, 662, 337, 735]"
106,3533.3333333333335,82522,67525,false,438.9203,1284.3313,845.4110,0.515678577252422,0.8927977681159973,"[225, 662, 337, 735]","[225, 662, 337, 735]"
107,3566.666666666667,82522,67522,false,646.9668,1316.3073,669.3405,0.6963317909977671,0.8904622197151184,"[225, 662, 336, 735]","[225, 662, 336, 735]"
108,3600.0,02522,67522,false,517.7666,1292.0332,774.2666,0.7034988528971139,0.8926236033439636,"[225, 662, 336, 735]","[225, 662, 336, 735]"
109,3633.3333333333335,02522,67522,false,434.2461,1625.5067,1191.2606,0.4733483028034218,0.8962812423706055,"[223, 663, 335, 736]","[223, 663, 335, 736]"
110,3666.666666666667,02522,67523,false,439.9663,1360.1193,920.1530,0.5822426583659283,0.8951191306114197,"[223, 663, 334, 736]","[223, 663, 334, 736]"
111,3700.0,02522,82823,false,573.1498,1527.8106,954.6608,0.8835456583556713,0.8981652855873108,"[223, 663, 334, 736]","[223, 663, 334, 736]"
112,3733.3333333333335,02522,67523,false,655.0249,1280.6568,625.6319,0.5159993403124331,0.8983680009841919,"[223, 663, 334, 737]","[223, 663, 334, 737]"
113,3766.666666666667,02522,67523,false,556.8840,1454.9384,898.0544,0.6729974860266771,0.9007647037506104,"[223, 664, 334, 737]","[223, 664, 334, 737]"
114,3800.0000000000005,78FA,82823,false,487.2792,1606.7203,1119.4411,0.7079780239382851,0.8999646306037903,"[223, 664, 334, 738]","[223, 664, 334, 738]"
115,3833.3333333333335,02522,82823,false,524.9952,1411.0992,886.1040,0.5489652469857855,0.9002100229263306,"[223, 664, 334, 737]","[223, 664, 334, 737]"
116,3866.6666666666665,82522,82823,false,413.2711,1379.2032,965.9321,0.42555488456162327,0.8981766700744629,"[223, 664, 334, 737]","[223, 664, 334, 737]"
117,3900.0000000000005,82522,2825,false,419.4062,1676.8356,1257.4294,0.5552814093042262,0.898318350315094,"[223, 664, 334, 737]","[223, 664, 334, 737]"
118,3933.3333333333335,82522,2525,false,394.7886,1433.0482,1038.2596,0.6736922450644363,0.8959307074546814,"[222, 665, 334, 738]","[222, 665, 334, 738]"
119,3966.666666666667,82522,2525,false,421.6770,1372.7920,951.1150,0.7063105599841429,0.8967297077178955,"[223, 665, 334, 738]","[223, 665, 334, 738]"
120,4000.0,82522,2529,false,378.2589,1734.3298,1356.0709,0.4294292126808673,0.8955593705177307,"[223, 665, 335, 738]","[223, 665, 335, 738]"
121,4033.333333333333,82522,6,false,360.3095,1257.9478,897.6383,0.5242387700634346,0.8969210982322693,"[223, 665, 335, 738]","[223, 665, 335, 738]"
122,4066.6666666666665,78FA,6,false,386.8803,1218.7074,831.8271,0.4921369872123505,0.8962591886520386,"[223, 665, 335, 738]","[223, 665, 335, 738]"
123,4100.000000000001,182522,6,false,383.7398,1138.5019,754.7621,0.4193501778568429,0.8986864686012268,"[224, 665, 335, 738]","[224, 665, 335, 738]"
124,4133.333333333334,02522,625,false,516.4873,1366.0505,849.5632,0.7141777553061869,0.900052011013031,"[223, 665, 335, 739]","[223, 665, 335, 739]"
125,4166.666666666667,82522,625,false,439.4568,1439.9203,1000.4635,0.4993694051553997,0.8992843627929688,"[224, 665, 335, 738]","[224, 665, 335, 738]"
126,4200.0,82522,625,false,451.1603,1291.5879,840.4276,0.49955298738679527,0.8994844555854797,"[224, 665, 335, 738]","[224, 665, 335, 738]"
127,4233.333333333333,82522,625,false,398.7365,1307.4944,908.7579,0.4199461910846879,0.9064256548881531,"[224, 666, 335, 739]","[224, 666, 335, 739]"
128,4266.666666666667,82522,82822,false,433.7324,1476.1433,1042.4109,0.5165690331343378,0.9059614539146423,"[224, 666, 336, 738]","[224, 666, 336, 738]"
129,4300.0,B2522,2822,false,378.5472,1436.7290,1058.1818,0.42924887635163667,0.90422123670578,"[224, 666, 336, 739]","[224, 666, 336, 739]"
130,4333.333333333334,02522,2522,false,381.7158,1527.0483,1145.3325,0.26154251647162124,0.9050933718681335,"[225, 666, 337, 739]","[225, 666, 337, 739]"
131,4366.666666666667,02522,82823,false,359.4118,1490.9885,1131.5767,0.33356799946378946,0.9023662805557251,"[224, 666, 337, 739]","[224, 666, 337, 739]"
132,4400.0,02522,82823,false,436.3184,1437.3014,1000.9830,0.2996203392745642,0.8996147513389587,"[224, 666, 337, 739]","[224, 666, 337, 739]"
133,4433.333333333334,82522,625,false,506.0522,1289.1621,783.1099,0.36684734052651724,0.8997313976287842,"[223, 667, 338, 740]","[223, 667, 338, 740]"
134,4466.666666666667,02522,2529,false,400.6613,1545.6678,1145.0065,0.25961023134305145,0.8971607089042664,"[223, 667, 339, 740]","[223, 667, 339, 740]"
135,4500.0,02522,2529,false,468.9688,1457.7231,988.7543,0.7599642161266881,0.8940508961677551,"[223, 667, 339, 740]","[223, 667, 339, 740]"
136,4533.333333333333,82522,2529,false,485.5584,1524.2802,1038.7218,0.28377342074456124,0.893872857093811,"[224, 667, 339, 740]","[224, 667, 339, 740]"
137,4566.666666666667,02522,2529,false,450.9961,1444.5934,993.5973,0.22809645089680358,0.9013965129852295,"[226, 668, 339, 740]","[226, 668, 339, 740]"
138,4600.000000000001,02522,2529,false,450.9674,1413.7072,962.7398,0.5251787787422291,0.9058755040168762,"[226, 668, 339, 741]","[226, 668, 339, 741]"
139,4633.333333333334,T8FA,2529,false,425.3491,1440.2015,1014.8524,0.26985955238342285,0.9069913625717163,"[227, 669, 339, 741]","[227, 669, 339, 741]"
140,4666.666666666667,82522,2529,false,517.0489,1407.1906,890.1417,0.270683587110364,0.9100648164749146,"[227, 669, 339, 741]","[227, 669, 339, 741]"
141,4700.0,02522,82823,false,445.4559,1392.5449,947.0890,0.3367256569843553,0.9110965132713318,"[228, 670, 339, 742]","[228, 670, 339, 742]"
142,4733.333333333333,02522,62823,false,469.9479,1384.1256,914.1777,0.41912951253885794,0.9066020250320435,"[228, 670, 339, 742]","[228, 670, 339, 742]"
143,4766.666666666667,02522,2823,false,407.2959,1367.7046,960.4087,0.5283816486772059,0.8996055722236633,"[228, 670, 339, 742]","[228, 670, 339, 742]"
144,4800.0,02522,62823,false,354.4402,1303.9360,949.4958,0.5674502671054028,0.8995001316070557,"[229, 671, 340, 742]","[229, 671, 340, 742]"
145,4833.333333333334,02522,2822,false,519.9426,1405.2615,885.3189,0.5090102998161917,0.9008577466011047,"[229, 671, 341, 742]","[229, 671, 341, 742]"
146,4866.666666666667,02522,2522,false,562.8346,1400.7015,837.8669,0.8894419519890602,0.9031562209129333,"[230, 671, 342, 742]","[230, 671, 342, 742]"
147,4900.0,02522,2822,false,422.5907,1368.7993,946.2086,0.5136773597585195,0.904937744140625,"[230, 671, 342, 742]","[230, 671, 342, 742]"
148,4933.333333333334,02522,2525,false,403.8006,1442.8660,1039.0654,0.5948638528691937,0.9057413935661316,"[232, 670, 344, 742]","[232, 670, 344, 742]"
149,4966.666666666667,02522,2822,false,454.5340,1595.3328,1140.7988,0.7444766305676773,0.9131143689155579,"[232, 671, 344, 743]","[232, 671, 344, 743]"
150,5000.0,82522,67522,false,482.7611,1252.0366,769.2755,0.8310575033246588,0.9096406698226929,"[234, 671, 344, 744]","[234, 671, 344, 744]"
151,5033.333333333333,82522,2522,false,405.7060,1668.0197,1262.3137,0.9077117443084717,0.9077117443084717,"[235, 671, 345, 744]","[235, 671, 345, 744]"
152,5066.666666666667,18F,2522,false,530.3236,1557.1416,1026.8180,0.7757482528686523,0.9089624285697937,"[236, 671, 346, 744]","[236, 671, 346, 744]"
153,5100.000000000001,02522,2522,false,668.0640,1764.8042,1096.7402,0.6924691327302598,0.9075780510902405,"[237, 672, 347, 743]","[237, 672, 347, 743]"
154,5133.333333333334,02522,2522,false,523.4114,1681.4411,1158.0297,0.5799626499741368,0.8912177085876465,"[239, 672, 348, 743]","[239, 672, 348, 743]"
155,5166.666666666667,18FA,2522,false,448.9754,1407.5859,958.6105,0.4255663835092972,0.8902646899223328,"[240, 672, 350, 743]","[240, 672, 350, 743]"
156,5200.0,18FA,62823,false,398.5917,1240.0998,841.5081,0.6130327934190469,0.8806685209274292,"[241, 672, 352, 742]","[241, 672, 352, 742]"
157,5233.333333333333,02522,2522,false,389.0649,1446.5392,1057.4743,0.6226340973711244,0.8772926330566406,"[244, 671, 355, 741]","[244, 671, 355, 741]"
158,5266.666666666667,02522,67522,false,375.3476,1276.5515,901.2039,0.42723970114840243,0.890583872795105,"[247, 672, 356, 741]","[247, 672, 356, 741]"
159,5300.0,82522,67522,false,407.7877,1640.5167,1232.7290,0.5252206966886496,0.8971108198165894,"[248, 671, 357, 741]","[248, 671, 357, 741]"
160,5333.333333333334,82522,622824,false,613.1318,2385.3763,1772.2445,0.6823604248415196,0.9026047587394714,"[251, 672, 360, 740]","[251, 672, 360, 740]"
161,5366.666666666667,82522,2825,false,472.0184,1422.6412,950.6228,0.5063588210489223,0.9070485234260559,"[257, 672, 361, 741]","[257, 672, 361, 741]"
162,5400.0,82522,2525,false,440.1615,1431.1660,991.0045,0.864742427329369,0.9038168787956238,"[260, 672, 361, 741]","[260, 672, 361, 741]"
163,5433.333333333334,82522,2525,false,472.1016,1558.4239,1086.3223,0.5993144381420114,0.9072737693786621,"[260, 672, 362, 742]","[260, 672, 362, 742]"
164,5466.666666666667,82522,2522,false,457.0513,1534.9666,1077.9153,0.8673539550880759,0.8955553770065308,"[261, 672, 364, 740]","[261, 672, 364, 740]"
165,5500.0,82522,825,false,334.9724,1534.6096,1199.6372,0.5977880718666967,0.895932137966156,"[262, 672, 364, 740]","[262, 672, 364, 740]"
166,5533.333333333333,82522,82822,false,319.8154,1682.4578,1362.6424,0.5976533216976178,0.8991670608520508,"[263, 672, 367, 739]","[263, 672, 367, 739]"
167,5566.666666666667,78FA,2522,false,357.0291,1715.5840,1358.5549,0.5194112598499754,0.8856254816055298,"[264, 672, 372, 740]","[264, 672, 372, 740]"
168,5600.000000000001,92522,2522,false,338.8893,1405.6844,1066.7951,0.7414059523451422,0.8817318081855774,"[265, 672, 373, 740]","[265, 672, 373, 740]"
169,5633.333333333334,82522,2522,false,349.0960,1392.9336,1043.8376,0.39809960452886456,0.8903376460075378,"[268, 672, 375, 739]","[268, 672, 375, 739]"
170,5666.666666666667,82522,2522,false,359.2455,1367.6510,1008.4055,0.48123088019314997,0.8763323426246643,"[272, 672, 377, 739]","[272, 672, 377, 739]"
171,5700.0,82522,2822,false,346.4706,1408.8784,1062.4078,0.3660711841714786,0.865813672542572,"[273, 671, 378, 738]","[273, 671, 378, 738]"
